------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v2.5.0 date format M/d/yyyy at 40 Hz  Filter Normal -----------,,
Serial Number: CLE2B20130009,,
Start Time 11:27:00,,
Start Date 6/14/2018,,
Epoch Period (hh:mm:ss) 00:00:00,,
Download Time 15:16:42,,
Download Date 6/14/2018,,
Current Memory Address: 0,,
Current Battery Voltage: 4.21     Mode = 12,,
--------------------------------------------------,,
Accelerometer X,Accelerometer Y,Accelerometer Z
0.155,0.085,-0.921
0.217,0.1,-1.053
0.211,0.044,-1.009
0.211,0,-0.991
0.22,-0.023,-1.021
0.217,-0.029,-1.012
0.22,-0.026,-1.009
0.196,-0.103,-0.968
0.191,-0.129,-0.974
0.196,-0.158,-1.006
0.188,-0.161,-0.988
0.214,-0.167,-1.003
0.22,-0.196,-1.009
0.185,-0.24,-0.979
0.114,-0.29,-0.979
0.053,-0.311,-0.988
0.009,-0.311,-0.994
-0.032,-0.302,-0.988
-0.053,-0.29,-0.982
-0.026,-0.305,-1.012
-0.07,-0.314,-1.021
-0.144,-0.226,-0.933
-0.173,-0.232,-0.953
-0.191,-0.217,-0.991
-0.191,-0.176,-0.962
-0.196,-0.173,-0.962
-0.246,-0.196,-1.003
-0.284,-0.191,-1.009
-0.314,-0.147,-1.006
-0.32,-0.091,-0.991
-0.299,0.038,-1.003
-0.249,0.097,-0.977
-0.246,0.111,-0.935
-0.185,0.185,-0.977
-0.158,0.185,-0.991
-0.132,0.196,-0.991
-0.144,0.211,-0.991
-0.117,0.238,-0.991
-0.047,0.261,-0.974
0.053,0.261,-0.977
0.114,0.243,-0.991
0.132,0.243,-1.003
0.158,0.238,-1.026
0.202,0.202,-0.979
0.255,0.155,-1.009
0.317,0.152,-1.062
0.334,0.056,-1.059
0.331,0,-1.026
0.334,-0.023,-1.035
0.34,-0.059,-1.026
0.326,-0.047,-1.003
0.328,-0.1,-0.982
0.287,-0.202,-0.965
0.22,-0.27,-0.988
0.182,-0.287,-0.977
0.158,-0.305,-0.988
0.129,-0.326,-1.012
0.114,-0.331,-0.994
0.117,-0.352,-0.988
0.047,-0.384,-1.035
-0.073,-0.361,-1.009
-0.111,-0.343,-0.982
-0.182,-0.282,-0.918
-0.191,-0.29,-0.979
-0.243,-0.252,-0.974
-0.249,-0.214,-0.947
-0.258,-0.176,-0.924
-0.331,-0.117,-0.977
-0.331,-0.038,-0.979
-0.287,0.038,-0.974
-0.276,0.047,-0.977
-0.284,0.038,-1.003
-0.246,0.1,-0.974
-0.255,0.117,-0.956
-0.196,0.205,-0.941
-0.114,0.252,-0.991
-0.073,0.243,-0.997
-0.067,0.252,-1.009
-0.097,0.27,-0.988
-0.038,0.296,-0.965
0.088,0.273,-0.962
0.147,0.261,-1.006
0.22,0.226,-1.047
0.24,0.191,-1.05
0.232,0.1,-0.974
0.299,0.111,-1.021
0.302,0.076,-1.012
0.32,0.059,-1.012
0.343,0.059,-1.012
0.361,-0.023,-0.994
0.299,-0.111,-0.968
0.305,-0.126,-0.974
0.302,-0.17,-0.994
0.299,-0.196,-1.012
0.284,-0.243,-1.012
0.232,-0.311,-1.035
0.135,-0.367,-1.035
0.059,-0.381,-1.021
0.012,-0.372,-0.997
-0.047,-0.381,-1.026
-0.062,-0.367,-1.009
-0.097,-0.331,-0.979
-0.141,-0.29,-0.927
-0.173,-0.302,-0.982
-0.235,-0.243,-0.977
-0.258,-0.202,-0.953
-0.261,-0.173,-0.938
-0.293,-0.132,-0.95
-0.299,-0.062,-0.938
-0.305,0,-0.95
-0.326,0.047,-0.988
-0.314,0.073,-0.956
-0.287,0.117,-0.947
-0.232,0.199,-0.977
-0.158,0.226,-0.979
-0.114,0.238,-0.988
-0.097,0.232,-0.994
-0.082,0.238,-0.982
-0.041,0.243,-0.977
0.053,0.252,-0.979
0.106,0.243,-0.991
0.126,0.246,-1.003
