resample,low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,8,18,59.530666587989,9.70879310087652,2.28838447958899,0.163088936464813,Nexus 4: 50Hz, 4g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,1,30,10.9955949413548,0.0965220535565157,0.0176224353432085,0.00877824747740505,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,2,30,43.3803812123856,0.251683984722847,0.0459509985984963,0.00580179283097192,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,3,24,97.3128169255076,0.620811737009546,0.126722665167024,0.00637954749048909,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,4,24,164.100217284369,1.16370182198447,0.237539639717421,0.00709140939142018,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,5,24,193.683642482164,1.26495485086948,0.258207827690718,0.00653103604753801,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,6,24,158.891704677772,0.771401633624244,0.157461699094064,0.0048548892793908,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,7,18,115.284577602806,0.380088775857535,0.0895877836205857,0.0032969611700107,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1C32140067,16,100,8,24,95.690069215775,1.60553530524167,0.327728521822144,0.0167784945543439,TAS1C32140067: 100Hz, 16g
50,0.2,5,FALSE,TRUE,Proposed without extrapolation,TAS1E23150139,8,60,2,18,41.386887825697,0.321912883529834,0.0758755942984202,0.00777813700043323,TAS1E23150139: 60Hz, 8g
