HEADER_TIME_STAMP,Y,group
2016-02-26 14:17:45,2.00859770451663,origin
2016-02-26 14:17:45,2.00425575529839,origin
2016-02-26 14:17:45,2.01285783634583,origin
2016-02-26 14:17:45,2.01198065714502,origin
2016-02-26 14:17:45,1.98258556419289,origin
2016-02-26 14:17:45,1.93,origin
2016-02-26 14:17:45,1.637,origin
2016-02-26 14:17:45,1.301,origin
2016-02-26 14:17:45,0.934,origin
2016-02-26 14:17:45,0.574,origin
2016-02-26 14:17:45,0.207,origin
2016-02-26 14:17:45,-0.164,origin
2016-02-26 14:17:45,-0.512,origin
2016-02-26 14:17:45,-0.805,origin
2016-02-26 14:17:45,-0.996,origin
2016-02-26 14:17:45,-1.102,origin
2016-02-26 14:17:45,-1.129,origin
2016-02-26 14:17:45,-1.121,origin
2016-02-26 14:17:45,-1.09,origin
2016-02-26 14:17:45,-1.031,origin
2016-02-26 14:17:45,-0.953,origin
2016-02-26 14:17:45,-0.852,origin
2016-02-26 14:17:45,-0.742,origin
2016-02-26 14:17:45,-0.637,origin
2016-02-26 14:17:45,-0.535,origin
2016-02-26 14:17:45,-0.41,origin
2016-02-26 14:17:45,-0.211,origin
2016-02-26 14:17:45,0.094,origin
2016-02-26 14:17:45,0.559,origin
2016-02-26 14:17:45,1.207,origin
2016-02-26 14:17:45,1.99947517206242,origin
2016-02-26 14:17:45,2.00984903884432,origin
2016-02-26 14:17:45,2.00261501957612,origin
2016-02-26 14:17:45,1.99530986022634,origin
2016-02-26 14:17:45,2.01204111719398,origin
2016-02-26 14:17:45,2.00118734745799,origin
2016-02-26 14:17:45,1.99486914491039,origin
2016-02-26 14:17:45,2.00892550246499,origin
2016-02-26 14:17:45,1.789,origin
2016-02-26 14:17:45,1.438,origin
2016-02-26 14:17:45,1.207,origin
2016-02-26 14:17:45,1.047,origin
2016-02-26 14:17:45,0.914,origin
2016-02-26 14:17:45,0.781,origin
2016-02-26 14:17:45,0.656,origin
2016-02-26 14:17:45,0.516,origin
2016-02-26 14:17:45,0.355,origin
2016-02-26 14:17:45,0.18,origin
2016-02-26 14:17:45,0.012,origin
2016-02-26 14:17:45,-0.125,origin
2016-02-26 14:17:45,-0.16,origin
2016-02-26 14:17:45,-0.25,origin
2016-02-26 14:17:45,-0.328,origin
2016-02-26 14:17:45,-0.305,origin
2016-02-26 14:17:45,-0.203,origin
2016-02-26 14:17:45,-0.066,origin
2016-02-26 14:17:45,0.094,origin
2016-02-26 14:17:45,0.23,origin
2016-02-26 14:17:45,0.332,origin
2016-02-26 14:17:45,0.492,origin
2016-02-26 14:17:45,0.84,origin
2016-02-26 14:17:45,1.449,origin
2016-02-26 14:17:45,2.01704165544214,origin
2016-02-26 14:17:45,2.00897831359485,origin
2016-02-26 14:17:45,1.99613806684067,origin
2016-02-26 14:17:45,2.00025017905772,origin
2016-02-26 14:17:45,2.00667655605942,origin
2016-02-26 14:17:45,1.98200566974119,origin
2016-02-26 14:17:45,2.00814562061561,origin
2016-02-26 14:17:45,1.99785739919547,origin
2016-02-26 14:17:45,1.98793619056802,origin
2016-02-26 14:17:45,1.988,origin
2016-02-26 14:17:45,1.707,origin
2016-02-26 14:17:45,1.379,origin
2016-02-26 14:17:45,1.047,origin
2016-02-26 14:17:45,0.75,origin
2016-02-26 14:17:45,0.461,origin
2016-02-26 14:17:45,0.164,origin
2016-02-26 14:17:45,-0.145,origin
2016-02-26 14:17:45,-0.453,origin
2016-02-26 14:17:45,-0.766,origin
2016-02-26 14:17:45,-1.043,origin
2016-02-26 14:17:45,-1.266,origin
2016-02-26 14:17:45,-1.406,origin
2016-02-26 14:17:45,-1.465,origin
2016-02-26 14:17:46,-1.383,origin
2016-02-26 14:17:46,-1.227,origin
2016-02-26 14:17:46,-1.059,origin
2016-02-26 14:17:46,-0.906,origin
2016-02-26 14:17:46,-0.781,origin
2016-02-26 14:17:46,-0.703,origin
2016-02-26 14:17:46,-0.648,origin
2016-02-26 14:17:46,-0.586,origin
2016-02-26 14:17:46,-0.418,origin
2016-02-26 14:17:46,-0.07,origin
2016-02-26 14:17:46,0.633,origin
2016-02-26 14:17:46,1.676,origin
2016-02-26 14:17:46,2.01303037693538,origin
2016-02-26 14:17:46,1.99783488808088,origin
2016-02-26 14:17:46,2.00424127235428,origin
2016-02-26 14:17:46,1.99565074163679,origin
2016-02-26 14:17:46,2.00919330783114,origin
2016-02-26 14:17:46,1.99227094979368,origin
2016-02-26 14:17:46,2.00103513279819,origin
2016-02-26 14:17:46,2,origin
2016-02-26 14:17:46,1.605,origin
2016-02-26 14:17:46,1.375,origin
2016-02-26 14:17:46,1.215,origin
2016-02-26 14:17:46,1.07,origin
2016-02-26 14:17:46,0.934,origin
2016-02-26 14:17:46,0.801,origin
2016-02-26 14:17:46,0.664,origin
2016-02-26 14:17:46,0.535,origin
2016-02-26 14:17:46,0.387,origin
2016-02-26 14:17:46,0.227,origin
2016-02-26 14:17:46,0.082,origin
2016-02-26 14:17:46,0.059,origin
2016-02-26 14:17:46,0.059,origin
2016-02-26 14:17:46,-0.152,origin
2016-02-26 14:17:46,-0.258,origin
2016-02-26 14:17:46,-0.285,origin
2016-02-26 14:17:46,-0.285,origin
2016-02-26 14:17:46,-0.23,origin
2016-02-26 14:17:46,-0.172,origin
2016-02-26 14:17:46,-0.16,origin
2016-02-26 14:17:46,-0.105,origin
2016-02-26 14:17:46,0.098,origin
2016-02-26 14:17:46,0.52,origin
2016-02-26 14:17:46,1.246,origin
2016-02-26 14:17:46,2.00319524232438,origin
2016-02-26 14:17:46,2.00467600859616,origin
2016-02-26 14:17:46,1.98076926425067,origin
2016-02-26 14:17:46,2.00353092629881,origin
2016-02-26 14:17:46,1.99236410751843,origin
2016-02-26 14:17:46,1.99860036079258,origin
2016-02-26 14:17:46,1.96989469339575,origin
2016-02-26 14:17:46,1.99976539271792,origin
2016-02-26 14:17:46,1.98738274854141,origin
2016-02-26 14:17:46,2.0011760644557,origin
2016-02-26 14:17:46,1.813,origin
2016-02-26 14:17:46,1.508,origin
2016-02-26 14:17:46,1.125,origin
2016-02-26 14:17:46,0.723,origin
2016-02-26 14:17:46,0.332,origin
2016-02-26 14:17:46,-0.063,origin
2016-02-26 14:17:46,-0.449,origin
2016-02-26 14:17:46,-0.781,origin
2016-02-26 14:17:46,-1.02,origin
2016-02-26 14:17:46,-1.172,origin
2016-02-26 14:17:46,-1.273,origin
2016-02-26 14:17:46,-1.332,origin
2016-02-26 14:17:46,-1.324,origin
2016-02-26 14:17:46,-1.266,origin
2016-02-26 14:17:46,-1.164,origin
2016-02-26 14:17:46,-1.066,origin
2016-02-26 14:17:46,-0.992,origin
2016-02-26 14:17:46,-0.949,origin
