ID,MPH,name,LOCATION,N,mean,sd,se,cv,SR,GRANGE,SERIES
GT3X+,11.2,Actigraph count algorithm,Waist,68,9506.70907508101,1823.2256072503,221.09858111835,0.191783044253383,80,6,GT3X+: 80Hz, 6g
GT3X+,12.4,Actigraph count algorithm,Nondominant wrist,62,35476.1104648852,10817.0499520412,1373.76671767664,0.304910820557628,80,6,GT3X+: 80Hz, 6g
GT3X+,12.4,Actigraph count algorithm,Waist,62,9484.69038816807,2025.49947257184,257.238690255442,0.213554622204495,80,6,GT3X+: 80Hz, 6g
GT9X,1.9,Actigraph count algorithm,Nondominant wrist,99,2493.24604330648,1056.07619675103,106.139651352991,0.423574801045502,84.8484848484848,8,GT9X: 84.8484848484848Hz, 8g
GT9X,1.9,Actigraph count algorithm,Waist,99,2028.94723244786,694.825098161729,69.8325498643732,0.342455972757579,84.8484848484848,8,GT9X: 84.8484848484848Hz, 8g
GT9X,3.1,Actigraph count algorithm,Nondominant wrist,98,4480.95208894143,987.877618368508,99.7907089901126,0.220461544502227,84.8979591836735,8,GT9X: 84.8979591836735Hz, 8g
GT9X,3.1,Actigraph count algorithm,Waist,98,4064.97017710771,779.927095567567,78.7845340152793,0.191865391770844,84.8979591836735,8,GT9X: 84.8979591836735Hz, 8g
GT9X,4.3,Actigraph count algorithm,Nondominant wrist,99,7046.50389941623,1662.70885972773,167.108527979289,0.235962242192965,84.8484848484848,8,GT9X: 84.8484848484848Hz, 8g
GT9X,4.3,Actigraph count algorithm,Waist,99,6402.93989269888,1314.78177314734,132.140540082663,0.205340327284121,84.8484848484848,8,GT9X: 84.8484848484848Hz, 8g
GT9X,5,Actigraph count algorithm,Nondominant wrist,97,16974.7207350001,3701.67755880793,375.848411389681,0.218070012260965,84.9484536082474,8,GT9X: 84.9484536082474Hz, 8g
GT9X,5,Actigraph count algorithm,Waist,97,7323.56037728729,2136.54112306473,216.932883595405,0.291735305370162,84.9484536082474,8,GT9X: 84.9484536082474Hz, 8g
GT9X,6.2,Actigraph count algorithm,Nondominant wrist,99,21722.3209803326,5648.19344826453,567.664800340517,0.260017953577723,84.8484848484848,8,GT9X: 84.8484848484848Hz, 8g
GT9X,6.2,Actigraph count algorithm,Waist,99,8750.71788576808,2976.14850462493,299.114179097521,0.340103354201974,84.8484848484848,8,GT9X: 84.8484848484848Hz, 8g
GT9X,7.5,Actigraph count algorithm,Nondominant wrist,99,23931.0009681319,5742.0332675894,577.096057040377,0.239941207442007,84.8484848484848,8,GT9X: 84.8484848484848Hz, 8g
GT9X,7.5,Actigraph count algorithm,Waist,99,9469.34660458285,3080.91599684324,309.643708246448,0.325356766997226,84.8484848484848,8,GT9X: 84.8484848484848Hz, 8g
GT9X,8.6,Actigraph count algorithm,Nondominant wrist,98,26985.946927163,6862.48896055871,693.216068546983,0.254298616204985,84.8979591836735,8,GT9X: 84.8979591836735Hz, 8g
GT9X,8.6,Actigraph count algorithm,Waist,98,9748.00419781778,2700.72974391867,272.814902296728,0.277054634888571,84.8979591836735,8,GT9X: 84.8979591836735Hz, 8g
GT9X,10,Actigraph count algorithm,Nondominant wrist,80,30652.1821806038,8390.46257294453,938.082233788588,0.273731329257656,81.25,8,GT9X: 81.25Hz, 8g
GT9X,10,Actigraph count algorithm,Waist,80,9894.70330912541,2428.32532885258,271.495025339945,0.24541668941332,81.25,8,GT9X: 81.25Hz, 8g
GT9X,11.2,Actigraph count algorithm,Nondominant wrist,73,34080.9118468933,9841.17617075716,1151.82254878464,0.288759180357853,81.3698630136986,8,GT9X: 81.3698630136986Hz, 8g
GT9X,11.2,Actigraph count algorithm,Waist,73,9802.99283751351,2168.64220863826,253.820371956973,0.221222461811808,81.3698630136986,8,GT9X: 81.3698630136986Hz, 8g
GT9X,12.4,Actigraph count algorithm,Nondominant wrist,67,35757.5104157479,10231.6408028098,1249.99387173257,0.28613963007625,81.4925373134328,8,GT9X: 81.4925373134328Hz, 8g
GT9X,12.4,Actigraph count algorithm,Waist,67,9224.38598194493,2220.25897940183,271.247805840619,0.240694500831555,81.4925373134328,8,GT9X: 81.4925373134328Hz, 8g
GT3X+,1.9,Biobank ENMO algorithm,Nondominant wrist,75,0.86848,0.24583796905081,0.0283869235217032,0.283066931939492,80,6,GT3X+: 80Hz, 6g
GT3X+,1.9,Biobank ENMO algorithm,Waist,75,0.81936,0.13209667221702,0.01525320985271,0.161219332426552,80,6,GT3X+: 80Hz, 6g
GT3X+,3.1,Biobank ENMO algorithm,Nondominant wrist,74,1.88951351351351,0.414638289083133,0.0482007220386913,0.219441822520825,80,6,GT3X+: 80Hz, 6g
GT3X+,3.1,Biobank ENMO algorithm,Waist,74,1.81621621621622,0.23894919906422,0.0277772801709424,0.13156429115143,80,6,GT3X+: 80Hz, 6g
GT3X+,4.3,Biobank ENMO algorithm,Nondominant wrist,75,3.01056,0.862268445062993,0.0995661837741678,0.286414635504023,80,6,GT3X+: 80Hz, 6g
GT3X+,4.3,Biobank ENMO algorithm,Waist,75,3.196,0.575619243522585,0.0664667850396987,0.180106146283663,80,6,GT3X+: 80Hz, 6g
GT3X+,5,Biobank ENMO algorithm,Nondominant wrist,73,6.74991780821918,1.84044247211117,0.215407498284374,0.27266146409518,80,6,GT3X+: 80Hz, 6g
GT3X+,5,Biobank ENMO algorithm,Waist,73,5.1907397260274,1.03033389986231,0.120591461634948,0.198494618155484,80,6,GT3X+: 80Hz, 6g
GT3X+,6.2,Biobank ENMO algorithm,Nondominant wrist,75,9.50464,3.13408373885609,0.361892818058278,0.329742498280428,80,6,GT3X+: 80Hz, 6g
GT3X+,6.2,Biobank ENMO algorithm,Waist,75,6.09424,1.31836807229774,0.152232032286421,0.216330185929294,80,6,GT3X+: 80Hz, 6g
GT3X+,7.5,Biobank ENMO algorithm,Nondominant wrist,75,10.49424,2.8552629255559,0.329697363735372,0.272079057231005,80,6,GT3X+: 80Hz, 6g
GT3X+,7.5,Biobank ENMO algorithm,Waist,75,6.75424,1.4043169335053,0.162156551917367,0.207916350841146,80,6,GT3X+: 80Hz, 6g
GT3X+,8.6,Biobank ENMO algorithm,Nondominant wrist,74,12.4566486486486,4.20172703054883,0.488440845947381,0.33730798299466,80,6,GT3X+: 80Hz, 6g
GT3X+,8.6,Biobank ENMO algorithm,Waist,74,7.28886486486486,1.49080105638127,0.173302102641114,0.204531306866108,80,6,GT3X+: 80Hz, 6g
GT3X+,10,Biobank ENMO algorithm,Nondominant wrist,75,16.2504,5.71149202828728,0.659506292001213,0.351467780995378,80,6,GT3X+: 80Hz, 6g
GT3X+,10,Biobank ENMO algorithm,Waist,75,8.37344,1.52426849305459,0.176007364956467,0.182036115748676,80,6,GT3X+: 80Hz, 6g
GT3X+,11.2,Biobank ENMO algorithm,Nondominant wrist,68,19.6983529411765,7.93137703081354,0.961820742783588,0.402641634785322,80,6,GT3X+: 80Hz, 6g
GT3X+,11.2,Biobank ENMO algorithm,Waist,68,9.29805882352941,2.01223487459044,0.24401932151435,0.2164145132636,80,6,GT3X+: 80Hz, 6g
GT3X+,12.4,Biobank ENMO algorithm,Nondominant wrist,62,21.7561935483871,7.67346807018964,0.974531419445992,0.352702693746651,80,6,GT3X+: 80Hz, 6g
GT3X+,12.4,Biobank ENMO algorithm,Waist,62,9.8761935483871,2.52565687504251,0.320758743889303,0.255731812329152,80,6,GT3X+: 80Hz, 6g
GT3X+2g,1.9,Biobank ENMO algorithm,Nondominant wrist,75,0.86768,0.244036116068802,0.0281788634608628,0.281251286267751,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,1.9,Biobank ENMO algorithm,Waist,75,0.81952,0.131967170364656,0.0152382562668454,0.161029834982253,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,3.1,Biobank ENMO algorithm,Nondominant wrist,74,1.88237837837838,0.41090660548379,0.0477669226317287,0.218291184282395,80,2,GT3X+2g: 80Hz, 2g
GT3X+2g,3.1,Biobank ENMO algorithm,Waist,74,1.81637837837838,0.238785207700377,0.0277582165621213,0.131462260585572,80,2,GT3X+2g: 80Hz, 2g
