DEVICE,GRANGE,SR,RPM,name,N,mean,sd,se,cv,SERIES
Nexus 4,4,50,8,ENMO_uncalibrated,18,44.612452,0.715090680847747,0.168548489863582,0.0160289481700702,Nexus 4: 50Hz, 4g
TAS1C32140067,16,100,1,ENMO_calibrated,31,0.257438709677419,0.00284301368496587,0.000510620331554549,0.0110434584159013,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,1,ENMO_uncalibrated,31,0.200892,0.0101859861378268,0.00182945711672493,0.0507037917778051,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,2,ENMO_calibrated,31,3.32789574193548,0.0116126071691294,0.00208568581792978,0.00348947445161716,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,2,ENMO_uncalibrated,31,3.25760516129032,0.0162676201641928,0.0029217508328467,0.00499373599891685,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,3,ENMO_calibrated,25,12.57770688,0.0304227439156957,0.00608454878313914,0.00241878302666374,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,3,ENMO_uncalibrated,25,12.44852208,0.0272022727021111,0.00544045454042223,0.00218518090157985,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,4,ENMO_calibrated,25,28.19428752,0.0963255183934142,0.0192651036786828,0.00341649060381769,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,4,ENMO_uncalibrated,25,27.9974232,0.0873779545423221,0.0174755909084644,0.00312092844824098,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,5,ENMO_calibrated,25,48.63494928,0.156406297408254,0.0312812594816508,0.00321592393379081,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,5,ENMO_uncalibrated,25,48.24862848,0.15880821805486,0.0317616436109721,0.00329145559278829,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,6,ENMO_calibrated,25,75.02500416,0.287605832966996,0.0575211665933993,0.00383346640479542,TAS1C32140067: 100Hz, 16g
TAS1C32140067,16,100,6,ENMO_uncalibrated,25,74.43079728,0.284890371758962,0.0569780743517925,0.00382758726454639,TAS1C32140067: 100Hz, 16g
