low_bandwidth,high_bandwidth,use_extrapolate,use_interpolate,name,DEVICE,GRANGE,SR,RPM,N,mean,sd,se,cv,SERIES
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,5,24,258.97956908866,0.297472503073281,0.0607213204198365,0.00114863309148314,CLE2B41120128: 80Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,6,24,208.460017400213,1.01877275623299,0.207956118051639,0.00488713744217481,CLE2B41120128: 80Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,7,18,126.494626626722,1.18214113788733,0.278633338306571,0.00934538619870198,CLE2B41120128: 80Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,CLE2B41120128,6,80,8,24,94.1814875823329,2.0950841153095,0.427657254226548,0.0222451796960415,CLE2B41120128: 80Hz, 6g
0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,1,18,15.4760304040041,2.08053829190705,0.490387578241917,0.134436172428865,LG Watch R Urbane: 100Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,2,18,58.8964806373535,1.7151569796511,0.40426637703691,0.0291215529534257,LG Watch R Urbane: 100Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,3,18,130.955231030721,1.17162339074209,0.276154281530168,0.00894674753746362,LG Watch R Urbane: 100Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,4,18,172.092048967725,0.680942969729256,0.160499797165621,0.00395685317139179,LG Watch R Urbane: 100Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,5,18,140.773800997701,1.02162130455127,0.24079845075095,0.00725718349089653,LG Watch R Urbane: 100Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,6,18,89.5232471913916,1.16652744397449,0.274953155358191,0.0130304415955843,LG Watch R Urbane: 100Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,7,18,51.5618742251398,4.02947232139754,0.949755734354567,0.0781482904171259,LG Watch R Urbane: 100Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,LG Watch R Urbane,2,100,8,18,49.3838918832746,6.09068690143814,1.43558867003033,0.123333473105649,LG Watch R Urbane: 100Hz, 2g
0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,1,30,15.8189747376833,1.71364058291631,0.312866534239855,0.108328169892967,MAT2C47090050: 30Hz, 3g
0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,2,30,61.1716319397741,1.40237928474674,0.256038256144584,0.0229253207782235,MAT2C47090050: 30Hz, 3g
0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,3,24,137.072582026873,1.11932692171126,0.2284816511294,0.00816594321898608,MAT2C47090050: 30Hz, 3g
0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,4,24,227.723715193937,0.578680886476778,0.118122741314129,0.00254115337080266,MAT2C47090050: 30Hz, 3g
0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,5,24,201.508558528729,0.588551199866307,0.120137510597938,0.00292072557197315,MAT2C47090050: 30Hz, 3g
0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,6,24,128.35859031576,1.72132524027757,0.351364043337809,0.0134102847035258,MAT2C47090050: 30Hz, 3g
0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,7,18,81.4656971748407,2.23937246563873,0.527825152018529,0.0274885325148893,MAT2C47090050: 30Hz, 3g
0.2,5,FALSE,TRUE,Proposed without extrapolation,MAT2C47090050,3,30,8,24,61.2288971329042,3.62736373651233,0.740432522160884,0.0592426763565368,MAT2C47090050: 30Hz, 3g
0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,1,18,15.6012753165648,2.06056432433895,0.485679668937049,0.132076659281253,Nexus 4: 50Hz, 4g
0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,2,18,58.8029034212091,1.77427745473171,0.418201206649066,0.0301732967507138,Nexus 4: 50Hz, 4g
0.2,5,FALSE,TRUE,Proposed without extrapolation,Nexus 4,4,50,3,18,130.9268060438,1.37975546934303,0.325211482917229,0.0105383726299827,Nexus 4: 50Hz, 4g
