HEADER_TIME_STAMP,Y,group
2016-02-26 14:17:43,1.227,gt
2016-02-26 14:17:43,0.863,gt
2016-02-26 14:17:43,0.652,gt
2016-02-26 14:17:43,0.426,gt
2016-02-26 14:17:43,0.059,gt
2016-02-26 14:17:43,-0.391,gt
2016-02-26 14:17:43,-0.109,gt
2016-02-26 14:17:43,0.445,gt
2016-02-26 14:17:43,1.121,gt
2016-02-26 14:17:43,2.996,gt
2016-02-26 14:17:43,4.625,gt
2016-02-26 14:17:43,2.91,gt
2016-02-26 14:17:43,2.117,gt
2016-02-26 14:17:43,1.352,gt
2016-02-26 14:17:43,0.648,gt
2016-02-26 14:17:43,-0.203,gt
2016-02-26 14:17:43,-1.105,gt
2016-02-26 14:17:43,-1.609,gt
2016-02-26 14:17:43,-1.191,gt
2016-02-26 14:17:43,-0.855,gt
2016-02-26 14:17:43,-0.875,gt
2016-02-26 14:17:43,-0.309,gt
2016-02-26 14:17:43,1.598,gt
2016-02-26 14:17:43,4.637,gt
2016-02-26 14:17:43,3.926,gt
2016-02-26 14:17:43,2.512,gt
2016-02-26 14:17:43,1.609,gt
2016-02-26 14:17:43,1.164,gt
2016-02-26 14:17:43,0.789,gt
2016-02-26 14:17:43,0.328,gt
2016-02-26 14:17:44,-0.125,gt
2016-02-26 14:17:44,-0.273,gt
2016-02-26 14:17:44,-0.273,gt
2016-02-26 14:17:44,0.043,gt
2016-02-26 14:17:44,0.684,gt
2016-02-26 14:17:44,2.668,gt
2016-02-26 14:17:44,5.121,gt
2016-02-26 14:17:44,2.961,gt
2016-02-26 14:17:44,2.133,gt
2016-02-26 14:17:44,1.535,gt
2016-02-26 14:17:44,0.707,gt
2016-02-26 14:17:44,0.078,gt
2016-02-26 14:17:44,-0.691,gt
2016-02-26 14:17:44,-1.383,gt
2016-02-26 14:17:44,-1.535,gt
2016-02-26 14:17:44,-1.262,gt
2016-02-26 14:17:44,-0.797,gt
2016-02-26 14:17:44,-0.422,gt
2016-02-26 14:17:44,1.152,gt
2016-02-26 14:17:44,4.637,gt
2016-02-26 14:17:44,4.309,gt
2016-02-26 14:17:44,2.512,gt
2016-02-26 14:17:44,1.48,gt
2016-02-26 14:17:44,1.125,gt
2016-02-26 14:17:44,0.957,gt
2016-02-26 14:17:44,0.695,gt
2016-02-26 14:17:44,0.18,gt
2016-02-26 14:17:44,-0.105,gt
2016-02-26 14:17:44,-0.234,gt
2016-02-26 14:17:44,0.125,gt
2016-02-26 14:17:44,0.512,gt
2016-02-26 14:17:44,0.988,gt
2016-02-26 14:17:44,3.539,gt
2016-02-26 14:17:44,3.836,gt
2016-02-26 14:17:44,2.324,gt
2016-02-26 14:17:44,2.027,gt
2016-02-26 14:17:44,1.41,gt
2016-02-26 14:17:44,0.762,gt
2016-02-26 14:17:44,-0.055,gt
2016-02-26 14:17:44,-1.023,gt
2016-02-26 14:17:45,-1.332,gt
2016-02-26 14:17:45,-1.113,gt
2016-02-26 14:17:45,-0.922,gt
2016-02-26 14:17:45,-0.656,gt
2016-02-26 14:17:45,0.313,gt
2016-02-26 14:17:45,3.18,gt
2016-02-26 14:17:45,4.609,gt
